,Año,País,Tasa Desempleo,Var.,Var. Año,Mes
0,2005,España [+],"8,8%","0,10","-1,50",Diciembre 2005
1,2005,Alemania [+],"10,7%","-0,10",0,Diciembre 2005
2,2005,Reino Unido [+],"5,1%",0,"0,40",Diciembre 2005
3,2005,Francia [+],"9,1%",0,"0,20",Diciembre 2005
4,2005,Italia [+],"7,5%",0,"-0,30",Diciembre 2005
5,2005,Portugal [+],"8,8%","-0,20","0,50",Diciembre 2005
6,2005,Zona Euro [+],"8,8%","-0,10","-0,30",Diciembre 2005
7,2005,Estados Unidos [+],"4,9%","-0,10","-0,50",Diciembre 2005
8,2005,Japón [+],"4,4%","-0,10","-0,10",Diciembre 2005
9,2005,Argentina [+],"10,1%","-1,00","-2,00",Diciembre 2005
10,2005,Austria [+],"5,7%",0,"0,20",Diciembre 2005
11,2005,Australia [+],"5,1%","0,11","0,00",Diciembre 2005
12,2005,Bélgica [+],"8,5%","0,10","0,30",Diciembre 2005
13,2005,Bulgaria [+],"9,7%","-0,10","-1,80",Diciembre 2005
14,2005,Canadá [+],"6,6%","0,30","-0,50",Diciembre 2005
15,2005,Chile [+],"7,9%","-0,81","-0,94",Diciembre 2005
16,2005,Colombia [+],"10,3%","0,13","-1,74",Diciembre 2005
17,2005,Chipre [+],"5,2%",0,"-0,10",Diciembre 2005
18,2005,República Checa [+],"7,7%","-0,10","-0,30",Diciembre 2005
19,2005,Dinamarca [+],"4,1%",0,"-1,20",Diciembre 2005
20,2005,Estonia [+],"6,8%","-0,40","-2,70",Diciembre 2005
21,2005,Finlandia [+],"8,1%",0,"-0,60",Diciembre 2005
22,2005,Grecia [+],"9,7%","-0,09","-0,67",Diciembre 2005
23,2005,Croacia [+],"12,5%","-0,10","-1,10",Diciembre 2005
24,2005,Hungría [+],"7,4%",0,"0,90",Diciembre 2005
25,2005,Irlanda [+],"4,6%","0,10",0,Diciembre 2005
26,2005,Islandia [+],"2,7%",0,"-0,20",Diciembre 2005
27,2005,Lituania [+],"6,9%","-0,10","-3,40",Diciembre 2005
28,2005,Luxemburgo [+],"4,2%",0,"0,30",Diciembre 2005
29,2005,Letonia [+],"8,5%","-0,30","-3,30",Diciembre 2005
30,2005,Malta [+],"7,3%","0,40","0,50",Diciembre 2005
31,2005,México [+],"2,8%","-0,17","-0,75",Diciembre 2005
32,2005,Países Bajos [+],"5,7%",0,"-0,20",Diciembre 2005
33,2005,Noruega [+],"4,3%","-0,10","-0,10",Diciembre 2005
34,2005,Polonia [+],"16,6%","-0,50","-1,70",Diciembre 2005
35,2005,Rumanía [+],"6,6%","-0,20","-1,30",Diciembre 2005
36,2005,Suecia [+],"7,7%","0,50","0,20",Diciembre 2005
37,2005,Eslovenia [+],"7,0%","-0,20","0,60",Diciembre 2005
38,2005,Eslovaquia [+],"15,4%","-0,30","-2,20",Diciembre 2005
39,2005,Turquía [+],"9,7%",0,,Diciembre 2005
40,2006,España [+],,,,
41,2006,,,,,
42,2006,,,,,
43,2006,,,,,
44,2006,,"6,2%","-0,30","-1,30",Diciembre 2006
45,2006,Portugal [+],"9,2%","-0,10","0,40",Diciembre 2006
46,2006,Zona Euro [+],"7,9%","-0,20","-0,90",Diciembre 2006
47,2006,Estados Unidos [+],"4,4%","-0,10","-0,50",Diciembre 2006
48,2006,Japón [+],"4,0%",0,"-0,40",Diciembre 2006
49,2006,Argentina [+],"8,7%","-1,50","-1,40",Diciembre 2006
50,2006,Austria [+],"5,0%","0,10","-0,70",Diciembre 2006
51,2006,Australia [+],"4,6%","0,03","-0,50",Diciembre 2006
52,2006,Bélgica [+],"7,9%","-0,10","-0,60",Diciembre 2006
53,2006,Bulgaria [+],"8,2%","-0,30","-1,50",Diciembre 2006
54,2006,Canadá [+],"6,1%","-0,10","-0,50",Diciembre 2006
55,2006,Chile [+],"6,0%","-0,63","-1,93",Diciembre 2006
56,2006,Colombia [+],"11,8%","0,84","1,45",Diciembre 2006
57,2006,Chipre [+],"4,4%","0,10","-0,80",Diciembre 2006
58,2006,República Checa [+],"6,4%","-0,20","-1,30",Diciembre 2006
59,2006,Dinamarca [+],"3,8%","0,20","-0,30",Diciembre 2006
60,2006,Estonia [+],"5,1%","-0,30","-1,70",Diciembre 2006
61,2006,Finlandia [+],"7,3%",0,"-0,80",Diciembre 2006
62,2006,Grecia [+],"9,0%","-0,02","-0,70",Diciembre 2006
63,2006,Croacia [+],"10,9%","-0,20","-1,60",Diciembre 2006
64,2006,Hungría [+],"7,4%","-0,20",0,Diciembre 2006
65,2006,Irlanda [+],"4,7%","0,10","0,10",Diciembre 2006
66,2006,Islandia [+],"2,6%","-0,10","-0,10",Diciembre 2006
67,2006,Lituania [+],"5,0%",0,"-1,90",Diciembre 2006
68,2006,Luxemburgo [+],"4,4%",0,"0,20",Diciembre 2006
69,2006,Letonia [+],"6,7%","0,20","-1,80",Diciembre 2006
70,2006,Malta [+],"6,5%","0,40","-0,80",Diciembre 2006
71,2006,México [+],"3,3%","-0,19","0,55",Diciembre 2006
72,2006,Países Bajos [+],"4,6%","-0,10","-1,10",Diciembre 2006
73,2006,Noruega [+],"2,9%","0,10","-1,40",Diciembre 2006
74,2006,Polonia [+],"11,9%","-0,50","-4,70",Diciembre 2006
75,2006,Rumanía [+],"7,2%","0,10","0,60",Diciembre 2006
76,2006,Suecia [+],"6,4%","-0,20","-1,30",Diciembre 2006
77,2006,Eslovenia [+],"5,4%","-0,10","-1,60",Diciembre 2006
78,2006,Eslovaquia [+],"12,1%","-0,30","-3,30",Diciembre 2006
79,2006,Turquía [+],"8,9%","0,20","-0,80",Diciembre 2006
80,2006,Uruguay [+],"8,9%","-0,81",,Diciembre 2006
81,2007,España [+],"8,8%","0,20","0,50",Diciembre 2007
82,2007,Alemania [+],"8,1%","-0,10","-1,30",Diciembre 2007
83,2007,Reino Unido [+],"5,2%",0,"-0,30",Diciembre 2007
84,2007,Francia [+],"7,4%","-0,10","-1,00",Diciembre 2007
85,2007,Italia [+],"6,5%","0,20","0,30",Diciembre 2007
86,2007,Portugal [+],"8,7%","-0,20","-0,50",Diciembre 2007
87,2007,Zona Euro [+],"7,3%",0,"-0,60",Diciembre 2007
88,2007,Estados Unidos [+],"5,0%","0,30","0,60",Diciembre 2007
89,2007,Japón [+],"3,7%","-0,10","-0,30",Diciembre 2007
90,2007,Argentina [+],"7,5%","-0,60","-1,20",Diciembre 2007
91,2007,Austria [+],"4,3%","-0,20","-0,70",Diciembre 2007
92,2007,Australia [+],"4,3%","-0,14","-0,26",Diciembre 2007
93,2007,Bélgica [+],"7,1%",0,"-0,80",Diciembre 2007
94,2007,Bulgaria [+],"6,1%",0,"-2,10",Diciembre 2007
95,2007,Canadá [+],"6,0%",0,"-0,10",Diciembre 2007
96,2007,Chile [+],"7,2%","-0,11","1,21",Diciembre 2007
97,2007,Colombia [+],"9,9%","0,48","-1,89",Diciembre 2007
98,2007,Chipre [+],"3,8%","0,10","-0,60",Diciembre 2007
99,2007,República Checa [+],"4,7%","-0,10","-1,70",Diciembre 2007
100,2007,Dinamarca [+],"3,3%","-0,40","-0,50",Diciembre 2007
101,2007,Estonia [+],"4,1%","0,10","-1,00",Diciembre 2007
102,2007,Finlandia [+],"6,5%","-0,10","-0,80",Diciembre 2007
103,2007,Grecia [+],"8,1%","0,07","-0,86",Diciembre 2007
104,2007,Croacia [+],"9,3%","-0,10","-1,60",Diciembre 2007
105,2007,Hungría [+],"8,0%","0,10","0,60",Diciembre 2007
106,2007,Irlanda [+],"5,3%","0,10","0,60",Diciembre 2007
107,2007,Islandia [+],"2,5%",0,"-0,10",Diciembre 2007
108,2007,Lituania [+],"4,1%","0,10","-0,90",Diciembre 2007
109,2007,Luxemburgo [+],"4,0%","-0,10","-0,40",Diciembre 2007
110,2007,Letonia [+],"5,6%","0,20","-1,10",Diciembre 2007
111,2007,Malta [+],"5,8%","-0,20","-0,70",Diciembre 2007
112,2007,México [+],"3,1%","-0,25","-0,21",Diciembre 2007
113,2007,Países Bajos [+],"3,9%","-0,10","-0,70",Diciembre 2007
114,2007,Noruega [+],"2,5%",0,"-0,40",Diciembre 2007
115,2007,Polonia [+],"8,3%","-0,40","-3,60",Diciembre 2007
116,2007,Rumanía [+],"5,8%","-0,10","-1,40",Diciembre 2007
117,2007,Suecia [+],"6,0%",0,"-0,40",Diciembre 2007
118,2007,Eslovenia [+],"4,7%",0,"-0,70",Diciembre 2007
119,2007,Eslovaquia [+],"10,5%","-0,10","-1,60",Diciembre 2007
120,2007,Turquía [+],"9,3%","-0,10","0,40",Diciembre 2007
121,2007,Uruguay [+],"7,8%","-0,84","-1,14",Diciembre 2007
122,2008,España [+],"14,8%","1,00","6,00",Diciembre 2008
123,2008,Alemania [+],"7,2%","0,10","-0,90",Diciembre 2008
124,2008,Reino Unido [+],"6,4%","0,20","1,20",Diciembre 2008
125,2008,Francia [+],"8,0%","0,20","0,60",Diciembre 2008
126,2008,Italia [+],"6,8%","-0,20","0,30",Diciembre 2008
127,2008,Portugal [+],"9,2%","0,30","0,50",Diciembre 2008
128,2008,Zona Euro [+],"8,3%","0,30","1,00",Diciembre 2008
129,2008,Estados Unidos [+],"7,3%","0,50","2,30",Diciembre 2008
130,2008,Japón [+],"4,4%","0,40","0,70",Diciembre 2008
131,2008,Argentina [+],"7,3%","-0,50","-0,20",Diciembre 2008
132,2008,Austria [+],"4,7%","0,30","0,40",Diciembre 2008
133,2008,Australia [+],"4,6%","0,10","0,26",Diciembre 2008
134,2008,Bélgica [+],"6,9%","0,20","-0,20",Diciembre 2008
135,2008,Bulgaria [+],"5,3%","0,30","-0,80",Diciembre 2008
136,2008,Canadá [+],"6,9%","0,30","0,90",Diciembre 2008
137,2008,Chile [+],"7,5%","-0,02","0,26",Diciembre 2008
138,2008,Colombia [+],"10,6%","-0,19","0,71",Diciembre 2008
139,2008,Chipre [+],"3,7%","0,20","-0,10",Diciembre 2008
140,2008,República Checa [+],"4,7%","0,20",0,Diciembre 2008
141,2008,Dinamarca [+],"4,7%","0,40","1,40",Diciembre 2008
142,2008,Estonia [+],"9,2%","1,40","5,10",Diciembre 2008
143,2008,Finlandia [+],"6,8%","0,10","0,30",Diciembre 2008
144,2008,Grecia [+],"8,6%","0,76","0,53",Diciembre 2008
145,2008,Croacia [+],"8,4%","0,10","-0,90",Diciembre 2008
146,2008,Hungría [+],"8,4%","0,20","0,40",Diciembre 2008
147,2008,Irlanda [+],"9,1%","0,60","3,80",Diciembre 2008
148,2008,Islandia [+],"5,0%","0,50","2,50",Diciembre 2008
149,2008,Lituania [+],"9,0%","0,70","4,90",Diciembre 2008
150,2008,Luxemburgo [+],"4,5%","0,10","0,50",Diciembre 2008
151,2008,Letonia [+],"11,3%","0,70","5,70",Diciembre 2008
152,2008,Malta [+],"6,1%","-0,20","0,30",Diciembre 2008
153,2008,México [+],"4,0%","-0,30","0,92",Diciembre 2008
154,2008,Países Bajos [+],"3,7%","0,10","-0,20",Diciembre 2008
155,2008,Noruega [+],"3,1%",0,"0,60",Diciembre 2008
156,2008,Polonia [+],"7,0%","0,20","-1,30",Diciembre 2008
157,2008,Rumanía [+],"5,8%","0,40",0,Diciembre 2008
158,2008,Suecia [+],"6,8%","-0,20","0,80",Diciembre 2008
159,2008,Eslovenia [+],"4,3%",0,"-0,40",Diciembre 2008
160,2008,Eslovaquia [+],"9,1%","0,20","-1,40",Diciembre 2008
161,2008,Turquía [+],"12,0%","0,50","2,70",Diciembre 2008
162,2008,Uruguay [+],"7,2%","0,63","-0,58",Diciembre 2008
163,2008,Venezuela [+],"6,1%",0,"-0,10",Diciembre 2008
164,2009,España [+],"18,9%","0,20","4,10",Diciembre 2009
165,2009,Alemania [+],"7,5%","-0,10","0,30",Diciembre 2009
166,2009,Reino Unido [+],"7,8%",0,"1,40",Diciembre 2009
167,2009,Francia [+],"9,5%",0,"1,50",Diciembre 2009
168,2009,Italia [+],"8,3%","0,20","1,50",Diciembre 2009
169,2009,Portugal [+],"11,3%","0,10","2,10",Diciembre 2009
170,2009,Zona Euro [+],"10,0%","0,10","1,70",Diciembre 2009
171,2009,Estados Unidos [+],"9,9%",0,"2,60",Diciembre 2009
172,2009,Japón [+],"5,2%",0,"0,80",Diciembre 2009
173,2009,Argentina [+],"8,4%","-0,70","1,10",Diciembre 2009
174,2009,Austria [+],"5,3%","-0,20","0,60",Diciembre 2009
175,2009,Australia [+],"5,5%","-0,06","0,93",Diciembre 2009
176,2009,Bélgica [+],"8,3%","0,30","1,40",Diciembre 2009
177,2009,Bulgaria [+],"8,4%","0,40","3,10",Diciembre 2009
178,2009,Canadá [+],"8,5%",0,"1,60",Diciembre 2009
179,2009,Chile [+],"8,6%","-0,49","1,14",Diciembre 2009
180,2009,Colombia [+],"11,3%","0,23","0,70",Diciembre 2009
181,2009,Chipre [+],"6,5%",0,"2,80",Diciembre 2009
182,2009,República Checa [+],"7,5%","-0,10","2,80",Diciembre 2009
183,2009,Dinamarca [+],"7,2%",0,"2,50",Diciembre 2009
184,2009,Estonia [+],"16,9%","0,80","7,70",Diciembre 2009
185,2009,Finlandia [+],"8,6%",0,"1,80",Diciembre 2009
186,2009,Grecia [+],"10,7%","0,14","2,03",Diciembre 2009
187,2009,Croacia [+],"10,2%","0,20","1,80",Diciembre 2009
188,2009,Hungría [+],"10,8%","0,20","2,40",Diciembre 2009
189,2009,Irlanda [+],"13,9%","0,10","4,80",Diciembre 2009
190,2009,Islandia [+],"7,2%","0,10","2,20",Diciembre 2009
191,2009,Lituania [+],"16,6%","0,30","7,60",Diciembre 2009
192,2009,Luxemburgo [+],"5,7%","-0,10","1,20",Diciembre 2009
193,2009,Letonia [+],"20,6%","0,30","9,30",Diciembre 2009
194,2009,Malta [+],"7,3%","0,20","1,20",Diciembre 2009
195,2009,México [+],"4,7%","-0,38","0,70",Diciembre 2009
196,2009,Países Bajos [+],"5,0%","0,10","1,30",Diciembre 2009
197,2009,Noruega [+],"3,6%","0,10","0,50",Diciembre 2009
198,2009,Polonia [+],"9,0%","0,40","2,00",Diciembre 2009
199,2009,Rumanía [+],"6,9%","-0,10","1,10",Diciembre 2009
200,2009,Suecia [+],"9,0%","0,30","2,20",Diciembre 2009
201,2009,Eslovenia [+],"6,4%",0,"2,10",Diciembre 2009
202,2009,Eslovaquia [+],"14,4%","0,30","5,30",Diciembre 2009
203,2009,Turquía [+],"12,0%","-0,20",0,Diciembre 2009
204,2009,Uruguay [+],"6,8%","-0,44","-0,37",Diciembre 2009
205,2009,Venezuela [+],"6,6%","-0,90","0,50",Diciembre 2009
206,2010,España [+],"20,3%","0,10","1,40",Diciembre 2010
207,2010,Alemania [+],"6,5%","-0,10","-1,00",Diciembre 2010
208,2010,Reino Unido [+],"7,9%",0,"0,10",Diciembre 2010
209,2010,Francia [+],"9,2%",0,"-0,30",Diciembre 2010
210,2010,Italia [+],"8,1%","-0,10","-0,20",Diciembre 2010
211,2010,Portugal [+],"12,2%",0,"0,90",Diciembre 2010
212,2010,Zona Euro [+],"10,0%",0,0,Diciembre 2010
213,2010,Estados Unidos [+],"9,3%","-0,50","-0,60",Diciembre 2010
214,2010,Japón [+],"4,9%","-0,10","-0,30",Diciembre 2010
215,2010,Argentina [+],"7,3%","-0,20","-1,10",Diciembre 2010
216,2010,Austria [+],"4,5%","0,10","-0,80",Diciembre 2010
217,2010,Australia [+],"4,9%","-0,23","-0,62",Diciembre 2010
218,2010,Bélgica [+],"7,6%","-0,20","-0,70",Diciembre 2010
219,2010,Bulgaria [+],"11,4%","0,10","3,00",Diciembre 2010
220,2010,Canadá [+],"7,6%",0,"-0,90",Diciembre 2010
221,2010,Suiza [+],"4,4%",0,,Diciembre 2010
222,2010,Chile [+],"7,3%","0,22","-1,28",Diciembre 2010
223,2010,Colombia [+],"11,1%","0,33","-0,19",Diciembre 2010
224,2010,Chipre [+],"6,2%",0,"-0,30",Diciembre 2010
225,2010,República Checa [+],"7,0%","0,10","-0,50",Diciembre 2010
226,2010,Dinamarca [+],"7,9%","0,10","0,70",Diciembre 2010
227,2010,Estonia [+],"14,2%","0,20","-2,70",Diciembre 2010
228,2010,Finlandia [+],"8,1%",0,"-0,50",Diciembre 2010
229,2010,Grecia [+],"14,7%","0,48","4,09",Diciembre 2010
230,2010,Croacia [+],"12,9%","0,10","2,70",Diciembre 2010
231,2010,Hungría [+],"11,1%","0,10","0,30",Diciembre 2010
232,2010,Irlanda [+],"15,7%",0,"1,80",Diciembre 2010
233,2010,Islandia [+],"7,6%","0,10","0,40",Diciembre 2010
234,2010,Lituania [+],"17,4%","-0,20","0,80",Diciembre 2010
235,2010,Luxemburgo [+],"5,9%",0,"0,20",Diciembre 2010
236,2010,Letonia [+],"17,7%","-0,40","-2,90",Diciembre 2010
237,2010,Malta [+],"6,9%","-0,10","-0,40",Diciembre 2010
238,2010,México [+],"4,9%","-0,24","0,21",Diciembre 2010
239,2010,Países Bajos [+],"5,0%","0,10",0,Diciembre 2010
240,2010,Noruega [+],"3,5%","-0,20","-0,10",Diciembre 2010
241,2010,Polonia [+],"9,5%",0,"0,50",Diciembre 2010
242,2010,Rumanía [+],"6,9%","-0,20",0,Diciembre 2010
243,2010,Suecia [+],"8,0%",0,"-1,00",Diciembre 2010
244,2010,Eslovenia [+],"7,8%","0,10","1,40",Diciembre 2010
245,2010,Eslovaquia [+],"13,9%",0,"-0,50",Diciembre 2010
246,2010,Turquía [+],"10,1%","-0,10","-1,90",Diciembre 2010
247,2010,Uruguay [+],"5,7%","-0,75","-1,12",Diciembre 2010
248,2010,Venezuela [+],"6,5%","-1,20","-0,10",Diciembre 2010
249,2011,España [+],"22,9%","0,30","2,60",Diciembre 2011
250,2011,Alemania [+],"5,5%","-0,10","-1,00",Diciembre 2011
251,2011,Reino Unido [+],"8,4%","-0,10","0,50",Diciembre 2011
252,2011,Francia [+],"9,4%",0,"0,20",Diciembre 2011
253,2011,Italia [+],"9,6%","0,40","1,50",Diciembre 2011
254,2011,Portugal [+],"14,4%","0,40","2,20",Diciembre 2011
255,2011,Zona Euro [+],"10,7%","0,20","0,70",Diciembre 2011
256,2011,Estados Unidos [+],"8,5%","-0,10","-0,80",Diciembre 2011
257,2011,Japón [+],"4,5%",0,"-0,40",Diciembre 2011
258,2011,Argentina [+],"6,7%","-0,50","-0,60",Diciembre 2011
259,2011,Austria [+],"4,7%","-0,30","0,20",Diciembre 2011
260,2011,Australia [+],"5,2%","-0,04","0,31",Diciembre 2011
261,2011,Bélgica [+],"7,0%",0,"-0,60",Diciembre 2011
262,2011,Bulgaria [+],"11,7%","0,30","0,30",Diciembre 2011
263,2011,Canadá [+],"7,4%","-0,10","-0,20",Diciembre 2011
264,2011,Suiza [+],"4,6%",0,"0,20",Diciembre 2011
265,2011,Chile [+],"6,6%","0,03","-0,71",Diciembre 2011
266,2011,Colombia [+],"9,8%","0,60","-1,30",Diciembre 2011
267,2011,Chipre [+],"9,7%","0,20","3,50",Diciembre 2011
268,2011,República Checa [+],"6,6%","0,30","-0,40",Diciembre 2011
269,2011,Dinamarca [+],"7,8%","-0,20","-0,10",Diciembre 2011
270,2011,Estonia [+],"10,9%","-0,80","-3,30",Diciembre 2011
271,2011,Finlandia [+],"7,6%",0,"-0,50",Diciembre 2011
272,2011,Grecia [+],"21,3%","0,70","6,54",Diciembre 2011
273,2011,Croacia [+],"14,3%","0,30","1,40",Diciembre 2011
274,2011,Hungría [+],"11,1%","0,20",0,Diciembre 2011
275,2011,Irlanda [+],"15,9%",0,"0,20",Diciembre 2011
276,2011,Islandia [+],"6,4%",0,"-1,20",Diciembre 2011
277,2011,Lituania [+],"13,5%",0,"-3,90",Diciembre 2011
278,2011,Luxemburgo [+],"5,9%","0,20",0,Diciembre 2011
279,2011,Letonia [+],"15,3%","-0,10","-2,40",Diciembre 2011
280,2011,Malta [+],"6,5%","0,10","-0,40",Diciembre 2011
281,2011,México [+],"4,5%","-0,45","-0,43",Diciembre 2011
282,2011,Países Bajos [+],"5,4%",0,"0,40",Diciembre 2011
283,2011,Noruega [+],"3,5%",0,0,Diciembre 2011
284,2011,Polonia [+],"9,9%",0,"0,40",Diciembre 2011
285,2011,Rumanía [+],"7,4%","-0,10","0,50",Diciembre 2011
286,2011,Suecia [+],"7,8%","0,10","-0,20",Diciembre 2011
287,2011,Eslovenia [+],"8,6%","-0,20","0,80",Diciembre 2011
288,2011,Eslovaquia [+],"13,9%","0,10",0,Diciembre 2011
289,2011,Turquía [+],"8,5%","0,10","-1,60",Diciembre 2011
290,2011,Uruguay [+],"5,6%","-0,25","-0,14",Diciembre 2011
291,2011,Venezuela [+],"6,5%","0,30",0,Diciembre 2011
292,2012,España [+],"26,0%","0,10","3,10",Diciembre 2012
293,2012,Alemania [+],"5,3%",0,"-0,20",Diciembre 2012
294,2012,Reino Unido [+],"7,8%",0,"-0,60",Diciembre 2012
295,2012,Francia [+],"10,2%","0,10","0,80",Diciembre 2012
296,2012,Italia [+],"11,4%","0,10","1,80",Diciembre 2012
297,2012,Portugal [+],"17,3%","0,30","2,90",Diciembre 2012
298,2012,Zona Euro [+],"11,9%","0,10","1,20",Diciembre 2012
299,2012,Estados Unidos [+],"7,9%","0,20","-0,60",Diciembre 2012
300,2012,Japón [+],"4,3%","0,20","-0,20",Diciembre 2012
301,2012,Argentina [+],"6,9%","-0,70","0,20",Diciembre 2012
302,2012,Austria [+],"5,1%","0,20","0,40",Diciembre 2012
303,2012,Australia [+],"5,4%","0,18","0,23",Diciembre 2012
304,2012,Bélgica [+],"8,4%","0,10","1,40",Diciembre 2012
305,2012,Bulgaria [+],"12,6%","0,10","0,90",Diciembre 2012
306,2012,Brasil [+],"6,9%","0,10",,Diciembre 2012
307,2012,Canadá [+],"7,2%",0,"-0,20",Diciembre 2012
308,2012,Suiza [+],"4,9%",0,"0,30",Diciembre 2012
309,2012,Chile [+],"6,0%","-0,09","-0,67",Diciembre 2012
310,2012,Colombia [+],"9,6%","0,30","-0,27",Diciembre 2012
311,2012,Chipre [+],"13,7%","0,60","4,00",Diciembre 2012
312,2012,República Checa [+],"7,1%","-0,20","0,50",Diciembre 2012
313,2012,Dinamarca [+],"7,5%","0,10","-0,30",Diciembre 2012
314,2012,Estonia [+],"9,6%","0,20","-1,30",Diciembre 2012
315,2012,Finlandia [+],"7,9%",0,"0,30",Diciembre 2012
316,2012,Grecia [+],"26,4%","-0,09","5,10",Diciembre 2012
317,2012,Croacia [+],"17,0%","0,20","2,70",Diciembre 2012
318,2012,Hungría [+],"11,0%","0,20","-0,10",Diciembre 2012
319,2012,Irlanda [+],"14,8%","-0,20","-1,10",Diciembre 2012
320,2012,Islandia [+],"5,6%","0,10","-0,80",Diciembre 2012
321,2012,Lituania [+],"12,8%","-0,30","-0,70",Diciembre 2012
322,2012,Luxemburgo [+],"6,4%","0,10","0,50",Diciembre 2012
323,2012,Letonia [+],"13,8%","-0,60","-1,50",Diciembre 2012
324,2012,Malta [+],"5,7%","-0,40","-0,80",Diciembre 2012
325,2012,México [+],"4,4%","-0,65","-0,11",Diciembre 2012
326,2012,Países Bajos [+],"6,4%","0,20","1,00",Diciembre 2012
327,2012,Noruega [+],"3,5%","-0,10",0,Diciembre 2012
328,2012,Polonia [+],"10,3%",0,"0,40",Diciembre 2012
329,2012,Rumanía [+],"6,7%","0,20","-0,70",Diciembre 2012
330,2012,Rusia [+],"5,1%","-0,10",,Diciembre 2012
331,2012,Suecia [+],"8,1%","-0,30","0,30",Diciembre 2012
332,2012,Eslovenia [+],"9,7%","0,30","1,10",Diciembre 2012
333,2012,Eslovaquia [+],"14,3%","0,10","0,40",Diciembre 2012
334,2012,Turquía [+],"8,8%","0,20","0,30",Diciembre 2012
335,2012,Uruguay [+],"5,6%","-0,80","0,01",Diciembre 2012
336,2012,Venezuela [+],"5,9%","-0,50","-0,60",Diciembre 2012
337,2013,España [+],"25,5%","-0,30","-0,50",Diciembre 2013
338,2013,Alemania [+],"5,1%",0,"-0,20",Diciembre 2013
339,2013,Reino Unido [+],"7,2%",0,"-0,60",Diciembre 2013
340,2013,Francia [+],"10,2%",0,0,Diciembre 2013
341,2013,Italia [+],"12,5%","0,20","1,10",Diciembre 2013
342,2013,Portugal [+],"15,0%","-0,40","-2,30",Diciembre 2013
343,2013,Zona Euro [+],"11,9%",0,0,Diciembre 2013
344,2013,Estados Unidos [+],"6,7%","-0,20","-1,20",Diciembre 2013
345,2013,Japón [+],"3,7%","-0,20","-0,60",Diciembre 2013
346,2013,Argentina [+],"6,4%","-0,40","-0,50",Diciembre 2013
347,2013,Austria [+],"5,5%","0,10","0,40",Diciembre 2013
348,2013,Australia [+],"5,9%","0,12","0,48",Diciembre 2013
349,2013,Bélgica [+],"8,6%","0,10","0,20",Diciembre 2013
